Tanggal,Jam,Coordinates,DateTime,Lintang,Bujur,Magnitude,Kedalaman,Wilayah,Potensi,Dirasakan,Shakemap
07 Nov 2024,06:51:46 WIB,"-6.39,107.32",2024-11-06T23:51:46+00:00,6.39 LS,107.32 BT,2.7,10 km,Pusat gempa berada di darat 10 km tenggara Kab. Karawang,Gempa ini dirasakan untuk diteruskan pada masyarakat,II-III Telukjambe Barat,20241107065146.mmi.jpg
07 Nov 2024,06:51:46 WIB,"-6.39,107.32",2024-11-06T23:51:46+00:00,6.39 LS,107.32 BT,2.7,10 km,Pusat gempa berada di darat 10 km tenggara Kab. Karawang,Gempa ini dirasakan untuk diteruskan pada masyarakat,II-III Telukjambe Barat,20241107065146.mmi.jpg
